name;year;country;genre;rating;count_rating
Рик и Морти;2013–;США;мультфильм, комедия;9.2;617 695
Аватар: Легенда об Аанге;2004–2008;США;мультфильм, фэнтези;9.1;251 333
Гравити Фолз;2012–2016;США;мультфильм, комедия;9.1;326 509
Друзья;1994–2004;США;комедия, мелодрама;8.9;413 549
Бесстыжие;2011–2021;США;драма, комедия;8.9;249 725
Клиника;2001–2010;США;комедия, драма;8.8;216 897
Сопрано;1999–2007;США;драма, криминал;8.8;75 534
Теория большого взрыва;2007–2019;США;комедия, мелодрама;8.8;345 777
Офис;2005–2013;США;комедия;8.8;92 131
Семнадцать мгновений весны;1973;СССР;военный, драма;8.8;80 325
Доктор Хаус;2004–2012;США;драма, детектив;8.8;360 941
Во все тяжкие;2008–2013;США;криминал, драма;8.8;388 330
По ту сторону изгороди;2014–2014;США;мультфильм, фэнтези;8.8;87 920
Место встречи изменить нельзя;1979;СССР;криминал, детектив;8.7;225 424
Игра престолов;2011–2019;США, Великобритания;фэнтези, драма;8.7;645 864
Как я встретил вашу маму;2005–2014;США;комедия, мелодрама;8.7;162 727
Светлячок;2002–2003;США;фантастика, приключения;8.7;65 050
Ковбой Бибоп;1998–1999;Япония;аниме, мультфильм;8.7;26 056
Футурама;1999–2013;США;мультфильм, фантастика;8.6;188 479
Отчаянные домохозяйки;2004–2012;США;драма, мелодрама;8.6;143 237
Берсерк;1997–1998;Япония;аниме, мультфильм;8.6;19 290
Южный Парк;1997–2021;США;мультфильм, комедия;8.6;183 343
Гордость и предубеждение;1995;Великобритания;драма, мелодрама;8.6;65 539
Крайний космос;2018–;США;мультфильм, фантастика;8.6;79 544
Человек-паук;1994–1998;США;мультфильм, фантастика;8.6;91 086
Чернобыль;2019;США, Великобритания;драма, история;8.6;318 950
Дом совы;2020–2020;США, Великобритания;мультфильм, фантастика;8.5;41 811
Крутой учитель Онидзука;1999–2000;Япония;аниме, мультфильм;8.5;29 811
Настоящий детектив;2014–2019;США;детектив, криминал;8.5;251 143
Братья по оружию;2001;США, Великобритания;военный, драма;8.5;40 161
Шерлок;2010–2017;Великобритания, США;детектив, триллер;8.5;443 297
Наруто: Ураганные хроники;2007–2017;Япония;аниме, мультфильм;8.5;40 141
Звёздная принцесса и силы зла;2015–2019;США, Канада;мультфильм, фантастика;8.5;111 075
Повар императора;2015–2015;Япония;биография, драма;8.5;10 144
Аббатство Даунтон;2010–2015;Великобритания;драма, мелодрама;8.5;70 730
12 стульев;1976;СССР;комедия, детектив;8.5;67 625
Ликвидация;2007;Россия;детектив, криминал;8.5;108 053
Голяк;2019–2021;Великобритания;комедия, криминал;8.5;128 919
Город, в котором меня нет;2016–2016;Япония;аниме, мультфильм;8.4;25 791
Йеллоустоун;2018–;США;драма, вестерн;8.4;39 104
Последний человек;2016;Франция;мультфильм, боевик;8.4;7 421
Время приключений;2010–2018;США, Корея Южная;мультфильм, фантастика;8.4;103 694
Атака титанов;2013–;Япония;аниме, мультфильм;8.4;67 663
Пуаро;1989–2013;Великобритания;триллер, детектив;8.4;51 709
Почему женщины убивают;2019–;США;драма, комедия;8.4;113 339
Силиконовая долина;2014–2019;США;комедия;8.4;62 311
Стальной алхимик: Братство;2009–2010;Япония;аниме, мультфильм;8.4;32 697
Дарья;1997–2001;США;мультфильм, драма;8.4;32 451
Наши матери, наши отцы;2013;Германия;боевик, драма;8.4;26 534
